"","Model","RMSE"
"1","Multiple Linear Regression",4447.18657247248
"2","Imputation Model",14100.5004796023
"3","Gradient Boosting Machines",4066.89372488195
"4","Multiple Linear Regression",4746.31628581186
"5","Imputation Model",14239.6722153213
"6","Gradient Boosting Machines",4389.95947438787
"7","Multiple Linear Regression",4485.35727811477
"8","Imputation Model",14110.6578318179
"9","Gradient Boosting Machines",4092.18570099552
"10","Multiple Linear Regression",4695.27924971399
"11","Imputation Model",14221.293467392
"12","Gradient Boosting Machines",4280.10747071125
"13","Multiple Linear Regression",4277.52131295006
"14","Imputation Model",13919.8020608389
"15","Gradient Boosting Machines",3952.26090402942
"16","Multiple Linear Regression",4620.21299487911
"17","Imputation Model",14306.1781084667
"18","Gradient Boosting Machines",4143.91339841478
"19","Multiple Linear Regression",4159.76569375996
"20","Imputation Model",13934.3250993778
"21","Gradient Boosting Machines",3977.53220083708
"22","Multiple Linear Regression",4590.3684366553
"23","Imputation Model",14156.289829647
"24","Gradient Boosting Machines",4110.64324046864
"25","Multiple Linear Regression",4574.19007428577
"26","Imputation Model",14282.4229426764
"27","Gradient Boosting Machines",4116.16166565371
"28","Multiple Linear Regression",4591.09581963917
"29","Imputation Model",14092.3512720027
"30","Gradient Boosting Machines",4132.57072843136
"31","Multiple Linear Regression",4958.58454473627
"32","Imputation Model",14406.7185819692
"33","Gradient Boosting Machines",4471.37001024993
"34","Multiple Linear Regression",4779.93822930905
"35","Imputation Model",14353.4049921248
"36","Gradient Boosting Machines",4236.72885155873
"37","Multiple Linear Regression",4596.84646936791
"38","Imputation Model",14178.0617746785
"39","Gradient Boosting Machines",4134.08500517485
"40","Multiple Linear Regression",4851.76608198987
"41","Imputation Model",14254.8669210102
"42","Gradient Boosting Machines",4320.95101588088
"43","Multiple Linear Regression",4462.64307910807
"44","Imputation Model",14138.1476056697
"45","Gradient Boosting Machines",4128.76302763154
"46","Multiple Linear Regression",4372.67120095888
"47","Imputation Model",14048.6897294541
"48","Gradient Boosting Machines",4069.79343994067
"49","Multiple Linear Regression",4729.19020484882
"50","Imputation Model",14338.1293660198
"51","Gradient Boosting Machines",4292.18583335579
"52","Multiple Linear Regression",4790.02027344226
"53","Imputation Model",14357.9016635267
"54","Gradient Boosting Machines",4360.9684550747
"55","Multiple Linear Regression",4513.27263607946
"56","Imputation Model",14082.5377323831
"57","Gradient Boosting Machines",4134.82302180552
"58","Multiple Linear Regression",4728.0341091701
"59","Imputation Model",14292.5628043205
"60","Gradient Boosting Machines",4185.19683598253
"61","Multiple Linear Regression",4536.83214635064
"62","Imputation Model",14159.5457811925
"63","Gradient Boosting Machines",4112.94694138175
"64","Multiple Linear Regression",4640.3984778483
"65","Imputation Model",14227.2045602112
"66","Gradient Boosting Machines",4189.00521083724
"67","Multiple Linear Regression",4771.2561541652
"68","Imputation Model",14339.0594330499
"69","Gradient Boosting Machines",4313.5938337123
"70","Multiple Linear Regression",4921.44569380184
"71","Imputation Model",14441.5075396469
"72","Gradient Boosting Machines",4359.24652258369
"73","Multiple Linear Regression",4607.4195413028
"74","Imputation Model",14100.9637964994
"75","Gradient Boosting Machines",4133.63055941234
"76","Multiple Linear Regression",4670.24518961603
"77","Imputation Model",14075.5746229448
"78","Gradient Boosting Machines",4226.40194906005
"79","Multiple Linear Regression",4318.25300480318
"80","Imputation Model",13981.4895354173
"81","Gradient Boosting Machines",3926.46319580513
"82","Multiple Linear Regression",4531.91769637889
"83","Imputation Model",14095.7937427382
"84","Gradient Boosting Machines",4173.90919763715
"85","Multiple Linear Regression",4761.14399214223
"86","Imputation Model",14270.8321656396
"87","Gradient Boosting Machines",4319.10191533442
"88","Multiple Linear Regression",4740.02394463428
"89","Imputation Model",14315.5181600481
"90","Gradient Boosting Machines",4241.55591386716
"91","Multiple Linear Regression",4444.10406743498
"92","Imputation Model",14075.4644390979
